nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:10:00,2020-02-06T14:10:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:01:00,2020-02-06T14:03:00,0.000,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:00:00,2020-02-06T14:01:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T13:29:00,2020-02-06T13:59:00,8.290,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T10:39:00,2020-02-06T13:01:00,15.903,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T09:08:00,2020-02-06T10:28:00,8.906,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-05T17:03:00,2020-02-05T20:05:00,14.146,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-05T08:11:00,2020-02-05T10:15:00,12.115,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-04T15:42:00,2020-02-04T16:01:00,1.960,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-03T14:50:00,2020-02-03T16:01:00,7.949,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-02T17:44:00,2020-02-02T18:01:00,1.853,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-02T13:13:00,2020-02-02T15:27:00,14.728,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-01T13:31:00,2020-02-01T15:55:00,16.591,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-02-22T00:47:00,2020-02-22T02:11:00,0.649,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-02-13T17:10:00,2020-02-13T17:45:00,2.071,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-02-12T13:39:00,2020-02-12T17:32:00,1.416,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-02-06T14:34:00,2020-02-06T14:39:00,0.201,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-02-06T14:28:00,2020-02-06T14:30:00,0.094,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-30T18:24:00,2020-03-30T20:01:00,10.589,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-30T08:13:00,2020-03-30T10:59:00,18.318,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-25T20:36:00,2020-03-25T20:57:00,2.314,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-24T10:17:00,2020-03-24T12:25:00,14.354,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-20T12:49:00,2020-03-20T13:09:00,1.449,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-18T15:06:00,2020-03-18T15:06:00,0.003,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-17T10:58:00,2020-03-17T10:58:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-17T10:56:00,2020-03-17T10:56:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-17T10:54:00,2020-03-17T10:54:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-17T10:51:00,2020-03-17T10:51:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-17T09:22:00,2020-03-17T10:45:00,9.291,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-15T15:13:00,2020-03-15T16:27:00,8.020,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-11T13:23:00,2020-03-11T13:32:00,3.236,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-11T12:55:00,2020-03-11T13:17:00,8.050,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-11T12:29:00,2020-03-11T12:52:00,8.253,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-11T10:40:00,2020-03-11T10:43:00,0.229,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-10T17:02:00,2020-03-10T18:20:00,4.526,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-09T13:59:00,2020-03-09T15:57:00,13.366,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-08T13:35:00,2020-03-08T14:49:00,8.375,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-08T12:56:00,2020-03-08T13:27:00,5.856,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-08T12:48:00,2020-03-08T12:53:00,1.016,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-07T15:09:00,2020-03-07T18:09:00,10.535,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-07T09:47:00,2020-03-07T11:51:00,6.625,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-05T14:37:00,2020-03-05T16:28:00,8.389,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-05T08:07:00,2020-03-05T10:33:00,17.173,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-04T14:56:00,2020-03-04T16:58:00,13.640,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-04T07:56:00,2020-03-04T10:05:00,9.666,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-03T08:16:00,2020-03-03T10:34:00,10.305,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-02T14:51:00,2020-03-02T15:38:00,4.790,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-02T08:50:00,2020-03-02T10:13:00,6.208,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-02T07:18:00,2020-03-02T08:48:00,9.459,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-03-01T08:42:00,2020-03-01T11:06:00,26.813,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-03-30T08:19:00,2020-03-30T10:56:00,0.115,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-03-24T10:22:00,2020-03-24T12:21:00,0.114,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2020-03-23T19:26:00,2020-03-23T21:12:00,3.840,kWh
