nabijeci_stanice,nabijeni_interval_zacatek_datum_a_cas,nabijeni_interval_konec_datum_a_cas,spotreba_hodnota,spotreba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-22T10:23:00,2018-07-22T12:55:00,8.804,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-21T18:56:00,2018-07-21T20:21:00,10.051,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-20T12:39:00,2018-07-20T12:52:00,1.386,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-19T00:44:00,2018-07-19T00:57:00,1.426,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-15T14:57:00,2018-07-15T15:37:00,4.374,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-15T10:54:00,2018-07-15T11:43:00,5.420,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-15T08:48:00,2018-07-15T09:27:00,4.144,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-14T16:57:00,2018-07-14T17:03:00,0.654,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-14T16:40:00,2018-07-14T16:53:00,1.448,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-14T11:32:00,2018-07-14T11:42:00,1.100,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-13T16:53:00,2018-07-13T18:00:00,7.405,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-11T08:37:00,2018-07-11T09:12:00,3.956,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-10T12:19:00,2018-07-10T13:17:00,6.543,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-05T19:18:00,2018-07-05T20:47:00,10.088,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-02T23:27:00,2018-07-02T02:25:00,14.845,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-02T22:40:00,2018-07-02T23:14:00,3.646,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-01T17:57:00,2018-07-01T18:49:00,9.288,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-01T17:28:00,2018-07-01T17:55:00,4.824,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-01T14:55:00,2018-07-01T15:13:00,3.136,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-01T14:54:00,2018-07-01T14:54:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-01T11:06:00,2018-07-01T11:56:00,5.445,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-07-13T17:55:00,2018-07-13T17:56:00,0.024,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-07-13T17:44:00,2018-07-13T17:46:00,0.003,KWH
